Sample Id	TP53: Putative copy-number alterations from GISTIC	TP53: mRNA expression (RNA Seq V2 RSEM)	Copy Number Alterations
TCGA-FB-A78T-01	Shallow Deletion	1000	TP53: Shallow Deletion
TCGA-FB-AAPP-01	Shallow Deletion	1720.7442	TP53: Shallow Deletion
TCGA-FB-AAPQ-01	Shallow Deletion	326.6683	TP53: Shallow Deletion
TCGA-FB-AAPS-01	Shallow Deletion	1153.7931	TP53: Shallow Deletion
TCGA-FB-AAPY-01	Shallow Deletion	820.6934	TP53: Shallow Deletion
TCGA-FB-AAPZ-01	Shallow Deletion	680.6662	TP53: Shallow Deletion
TCGA-FB-AAQ0-01	Shallow Deletion	963.9068	TP53: Shallow Deletion
TCGA-FB-AAQ1-01	Shallow Deletion	643.0177	TP53: Shallow Deletion
TCGA-FB-AAQ2-01	Shallow Deletion	1502.094	TP53: Shallow Deletion
TCGA-FB-AAQ3-01	Shallow Deletion	352.933	TP53: Shallow Deletion
TCGA-FB-AAQ6-01	Shallow Deletion	1124.8826	TP53: Shallow Deletion
TCGA-H6-8124-01	Shallow Deletion	895.0923	TP53: Shallow Deletion
TCGA-H8-A6C1-01	Shallow Deletion	1037.1767	TP53: Shallow Deletion
TCGA-HV-A5A3-01	Shallow Deletion	946.0738	TP53: Shallow Deletion
TCGA-HV-A5A6-01	Shallow Deletion	479.6574	TP53: Shallow Deletion
TCGA-HV-A7OL-01	Shallow Deletion	1235.9827	TP53: Shallow Deletion
TCGA-HV-AA8X-01	Shallow Deletion	912.4703	TP53: Shallow Deletion
TCGA-HZ-7289-01	Shallow Deletion	1665.9697	TP53: Shallow Deletion
TCGA-HZ-7919-01	Shallow Deletion	373.1284	TP53: Shallow Deletion
TCGA-HZ-7922-01	Shallow Deletion	542.6124	TP53: Shallow Deletion
TCGA-HZ-8001-01	Shallow Deletion	1147.6483	TP53: Shallow Deletion
TCGA-HZ-8005-01	Shallow Deletion	516.1708	TP53: Shallow Deletion
TCGA-HZ-8315-01	Shallow Deletion	1000	TP53: Shallow Deletion
